player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jack Kiser,97889,LB,NOTRE DAME,9,5,0,85.7,0,0,258,63.8,72.4,78.8,58.4,80.4,89.0,0,1,1,17,0.0,0,0,0,69.9,6,0,110,0,63,129,4,0,0,4,0,0,125,10,56,15,9,17,7,1,0,72,45,12.0
David Spaulding,97890,CB,GA SOUTHRN,6,0,0,75.0,0,0,174,80.7,77.5,76.6,60.0,49.8,80.3,0,0,1,12,0.0,0,1,0,92.7,6,0,0,46,29,47,1,0,0,1,0,0,46,1,17,0,2,5,8,0,1,54,13,9.0
J'Coryan Anderson,97891,LB,MARSHALL,4,0,0,,0,0,214,64.2,72.1,74.8,,73.5,73.2,0,0,0,,0.0,0,0,0,0.0,0,0,15,1,11,24,6,0,0,6,0,0,18,0,13,2,0,1,0,0,0,0,0,
Lama Lavea,97892,DI,NEW MEX ST,2,0,0,,0,0,242,52.8,48.6,78.8,54.1,52.0,72.2,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,78,78,25,48,0,5,0,0,47,31,0,2,2,0,1,0,0,0,
Tavier Williams,97894,S,LA MONROE,3,1,0,,0,0,209,60.0,70.0,68.5,,71.5,78.3,0,0,0,,0.0,0,0,0,0.0,0,0,7,0,1,11,0,0,0,0,0,1,11,0,10,2,1,2,0,0,0,0,0,
Tyler Nubin,97895,S,MINNESOTA,7,7,0,52.9,0,0,225,39.8,45.6,84.6,54.7,57.7,67.5,0,0,1,47,17.3,9,0,1,88.6,9,0,138,5,215,402,0,0,0,0,0,218,402,5,182,40,7,36,17,0,1,193,82,21.4
Shyheim Battle,97896,CB,NC STATE,12,0,0,51.4,0,0,248,56.2,55.4,86.4,75.2,43.9,39.5,0,2,1,45,28.9,11,8,2,77.8,37,1,33,696,436,756,0,0,0,0,0,8,756,4,316,19,5,27,72,3,3,429,163,11.6
Easton Gibbs,97899,LB,WYOMING,6,11,0,88.9,0,0,351,56.6,68.9,80.7,51.4,77.8,75.0,0,2,0,44,7.7,3,0,0,145.4,8,0,204,0,91,229,11,0,0,11,0,1,218,11,127,12,16,25,9,2,1,90,45,11.3
Marcus LaFrance,97900,S,MIDDLE TN,2,0,0,,0,0,224,60.5,36.8,72.5,,29.1,39.8,0,0,0,,33.3,1,0,0,0.0,0,0,9,0,2,18,0,0,0,0,0,6,18,0,16,3,0,2,0,0,0,0,0,
Ben Johnson,97901,LB,OHIO,2,0,0,57.1,0,0,259,60.2,58.1,79.3,55.7,56.1,71.0,0,0,0,9,14.3,1,0,0,62.2,4,0,31,0,35,77,16,0,0,16,0,1,61,5,37,29,1,6,7,0,0,17,16,4.3
Yvandy Rigby,97904,LB,TEMPLE,2,2,0,100.0,0,0,306,56.0,56.8,79.3,,57.4,37.1,0,0,0,21,26.3,5,0,0,118.8,3,0,45,0,41,107,28,0,0,28,0,0,79,0,66,34,4,12,3,0,0,52,28,17.3
Bryce Gallagher,97905,LB,NWESTERN,1,0,0,,0,0,256,60.0,71.3,69.1,,70.9,76.1,0,0,0,,0.0,0,0,0,0.0,0,0,9,0,1,10,0,0,0,0,0,0,10,0,9,0,1,2,0,0,0,0,0,
Jaylon Sharpe,97906,LB,CHARLOTTE,4,1,0,100.0,0,0,136,52.0,55.8,76.3,59.2,61.0,39.0,0,0,0,4,25.0,2,0,0,83.3,1,0,51,0,21,55,2,0,0,2,0,0,53,2,32,2,3,5,1,0,0,4,2,4.0
Sayyid Stevens,97909,LB,DUKE,4,1,0,,0,0,154,63.7,69.6,72.1,,70.3,79.2,0,1,0,,0.0,0,0,0,0.0,0,0,38,0,12,41,1,0,0,1,0,0,40,0,29,2,2,2,0,1,0,0,0,
Darius McClendon,97910,S,MIDDLE TN,5,1,0,100.0,0,0,224,51.8,51.5,75.7,,53.8,80.5,0,0,0,8,0.0,0,0,0,139.6,2,0,17,0,11,35,0,0,0,0,0,10,35,0,24,8,0,2,2,0,1,16,6,8.0
Zach Ranson,97911,CB,WAKE,1,0,0,0.0,0,0,339,63.3,63.9,73.2,,60.7,,0,0,0,,,0,0,0,39.6,0,0,1,0,7,12,0,0,0,0,0,0,12,0,5,11,0,0,1,0,0,0,0,
Nick Rattin,97916,LB,N ILLINOIS,6,10,0,100.0,0,0,254,54.9,53.9,81.5,59.2,53.4,79.5,2,7,0,36,8.8,3,0,0,118.8,4,0,334,0,126,350,9,0,0,9,0,1,341,42,182,5,9,21,4,9,0,66,49,16.5
Shammond Cooper,97918,LB,ILLINOIS,4,1,0,,0,0,187,72.8,56.2,73.7,,45.1,33.0,0,0,0,,33.3,1,0,0,0.0,0,0,27,0,5,30,0,0,0,0,0,0,30,0,25,3,1,1,0,0,0,0,0,
Billy Wooden,97923,DI,UMASS,4,3,0,,0,0,216,60.0,72.9,80.8,64.2,76.0,61.5,2,2,0,,12.5,1,0,0,0.0,0,1,0,0,0,175,174,1,170,3,0,0,1,84,91,0,4,4,0,5,0,0,0,
Taylor Milton,97925,LB,NEW MEX ST,2,0,0,100.0,0,0,242,58.3,59.3,75.2,58.3,60.7,68.7,0,1,0,5,16.7,2,0,0,87.5,2,0,51,0,26,74,3,0,0,3,0,0,71,8,40,20,6,10,2,1,0,10,7,5.0
